Geoplaces Place ID's,Parking Place ID's,,,,,
132560,132012,,I have sorted them in ascending order,,,
132561,132023,,,,,
132564,132024,,,,,
132572,132026,,,,,
132583,132030,,,,,
132584,132031,,,,,
132594,132107,,,,,
132608,132111,,,,,
132609,132155,,,,,
132613,132157,,,,,
132626,132159,,,,,
132630,132160,,,,,
132654,132161,,,,,
132660,132164,,,,,
132663,132177,,,,,
132665,132182,,,,,
132667,132184,,,,,
132668,132204,,,,,
132706,132206,,,,,
132715,132207,,,,,
132717,132220,,,,,
132723,132231,,,,,
132732,132237,,,,,
132733,132243,,,,,
132740,132281,,,,,
132754,132289,,,,,
132755,132292,,,,,
132766,132296,,,,,
132767,132297,,,,,
132768,132302,,,,,
132773,132326,,,,,
132825,132333,,,,,
132830,132355,,,,,
132834,132377,,,,,
132845,132392,,,,,
132846,132396,,,,,
132847,132399,,,,,
132851,132409,,,,,
132854,132436,,,,,
132856,132437,,,,,
132858,132439,,,,,
132861,132442,,,,,
132862,132443,,,,,
132866,132449,,,,,
132869,132468,,,,,
132870,132478,,,,,
132872,132479,,,,,
132875,132481,,,,,
132877,132482,,,,,
132884,132483,,,,,
132885,132484,,,,,
132921,132487,,,,,
132922,132491,,,,,
132925,132521,,,,,
132937,132527,,,,,
132951,132530,,,,,
132954,132531,,,,,
132955,132535,,,,,
132958,132545,,,,,
134975,132557,,,,,
134976,132560,,,,,
134983,132561,,,,,
134986,132562,,,,,
134987,132563,,,,,
134992,132564,,,,,
134996,132565,,,,,
134999,132566,,,,,
135000,132567,,,,,
135001,132568,,,,,
135011,132569,,,,,
135013,132570,,,,,
135016,132571,,,,,
135018,132572,,,,,
135019,132573,,,,,
135021,132574,,,,,
135025,132575,,,,,
135026,132576,,,,,
135027,132577,,,,,
135028,132578,,,,,
135030,132579,,,,,
135032,132580,,,,,
135033,132581,,,,,
135034,132582,,,,,
135035,132583,,,,,
135038,132584,,,,,
135039,132585,,,,,
135040,132586,,,,,
135041,132587,,,,,
135042,132588,,,,,
135043,132589,,,,,
135044,132590,,,,,
135045,132591,,,,,
135046,132592,,,,,
135047,132593,,,,,
135048,132594,,,,,
135049,132595,,,,,
135050,132596,,,,,
135051,132597,,,,,
135052,132598,,,,,
135053,132599,,,,,
135054,132600,,,,,
135055,132601,,,,,
135057,132602,,,,,
135058,132603,,,,,
135059,132604,,,,,
135060,132605,,,,,
135062,132606,,,,,
135063,132607,,,,,
135064,132608,,,,,
135065,132609,,,,,
135066,132610,,,,,
135069,132611,,,,,
135070,132612,,,,,
135071,132613,,,,,
135072,132614,,,,,
135073,132615,,,,,
135074,132616,,,,,
135075,132617,,,,,
135076,132618,,,,,
135079,132619,,,,,
135080,132620,,,,,
135081,132621,,,,,
135082,132622,,,,,
135085,132623,,,,,
135086,132624,,,,,
135088,132625,,,,,
135104,132626,,,,,
135106,132628,,,,,
135108,132629,,,,,
135109,132630,,,,,
,132631,,,,,
,132632,,,,,
,132633,,,,,
,132634,,,,,
,132635,,,,,
,132636,,,,,
,132637,,,,,
,132638,,,,,
,132639,,,,,
,132640,,,,,
,132641,,,,,
,132642,,,,,
,132643,,,,,
,132644,,,,,
,132645,,,,,
,132646,,,,,
,132647,,,,,
,132648,,,,,
,132649,,,,,
,132650,,,,,
,132651,,,,,
,132652,,,,,
,132653,,,,,
,132654,,,,,
,132655,,,,,
,132656,,,,,
,132657,,,,,
,132658,,,,,
,132659,,,,,
,132660,,,,,
,132661,,,,,
,132662,,,,,
,132663,,,,,
,132664,,,,,
,132665,,,,,
,132666,,,,,
,132667,,,,,
,132668,,,,,
,132669,,,,,
,132670,,,,,
,132671,,,,,
,132672,,,,,
,132673,,,,,
,132674,,,,,
,132675,,,,,
,132676,,,,,
,132677,,,,,
,132678,,,,,
,132679,,,,,
,132680,,,,,
,132681,,,,,
,132682,,,,,
,132683,,,,,
,132684,,,,,
,132685,,,,,
,132686,,,,,
,132687,,,,,
,132688,,,,,
,132689,,,,,
,132690,,,,,
,132691,,,,,
,132692,,,,,
,132693,,,,,
,132694,,,,,
,132695,,,,,
,132696,,,,,
,132697,,,,,
,132698,,,,,
,132699,,,,,
,132700,,,,,
,132701,,,,,
,132702,,,,,
,132703,,,,,
,132704,,,,,
,132705,,,,,
,132706,,,,,
,132707,,,,,
,132708,,,,,
,132709,,,,,
,132710,,,,,
,132711,,,,,
,132712,,,,,
,132713,,,,,
,132714,,,,,
,132715,,,,,
,132716,,,,,
,132717,,,,,
,132718,,,,,
,132719,,,,,
,132720,,,,,
,132721,,,,,
,132722,,,,,
,132723,,,,,
,132724,,,,,
,132725,,,,,
,132726,,,,,
,132727,,,,,
,132728,,,,,
,132729,,,,,
,132730,,,,,
,132731,,,,,
,132732,,,,,
,132733,,,,,
,132734,,,,,
,132735,,,,,
,132736,,,,,
,132737,,,,,
,132738,,,,,
,132739,,,,,
,132740,,,,,
,132741,,,,,
,132742,,,,,
,132743,,,,,
,132744,,,,,
,132745,,,,,
,132746,,,,,
,132747,,,,,
,132748,,,,,
,132749,,,,,
,132750,,,,,
,132751,,,,,
,132752,,,,,
,132753,,,,,
,132754,,,,,
,132755,,,,,
,132756,,,,,
,132757,,,,,
,132758,,,,,
,132759,,,,,
,132760,,,,,
,132761,,,,,
,132762,,,,,
,132763,,,,,
,132764,,,,,
,132765,,,,,
,132766,,,,,
,132767,,,,,
,132768,,,,,
,132769,,,,,
,132770,,,,,
,132771,,,,,
,132772,,,,,
,132773,,,,,
,132774,,,,,
,132775,,,,,
,132776,,,,,
,132777,,,,,
,132778,,,,,
,132779,,,,,
,132780,,,,,
,132781,,,,,
,132782,,,,,
,132783,,,,,
,132784,,,,,
,132785,,,,,
,132786,,,,,
,132787,,,,,
,132788,,,,,
,132789,,,,,
,132790,,,,,
,132791,,,,,
,132792,,,,,
,132793,,,,,
,132794,,,,,
,132795,,,,,
,132796,,,,,
,132797,,,,,
,132798,,,,,
,132799,,,,,
,132801,,,,,
,132802,,,,,
,132803,,,,,
,132804,,,,,
,132805,,,,,
,132806,,,,,
,132807,,,,,
,132808,,,,,
,132809,,,,,
,132810,,,,,
,132811,,,,,
,132812,,,,,
,132813,,,,,
,132815,,,,,
,132816,,,,,
,132817,,,,,
,132818,,,,,
,132819,,,,,
,132820,,,,,
,132821,,,,,
,132822,,,,,
,132823,,,,,
,132824,,,,,
,132825,,,,,
,132826,,,,,
,132827,,,,,
,132828,,,,,
,132829,,,,,
,132830,,,,,
,132831,,,,,
,132832,,,,,
,132833,,,,,
,132834,,,,,
,132835,,,,,
,132836,,,,,
,132837,,,,,
,132838,,,,,
,132839,,,,,
,132840,,,,,
,132841,,,,,
,132842,,,,,
,132843,,,,,
,132844,,,,,
,132845,,,,,
,132846,,,,,
,132847,,,,,
,132848,,,,,
,132849,,,,,
,132850,,,,,
,132851,,,,,
,132852,,,,,
,132853,,,,,
,132854,,,,,
,132855,,,,,
,132856,,,,,
,132857,,,,,
,132858,,,,,
,132859,,,,,
,132860,,,,,
,132861,,,,,
,132862,,,,,
,132863,,,,,
,132864,,,,,
,132865,,,,,
,132866,,,,,
,132867,,,,,
,132868,,,,,
,132869,,,,,
,132870,,,,,
,132871,,,,,
,132872,,,,,
,132873,,,,,
,132874,,,,,
,132875,,,,,
,132876,,,,,
,132877,,,,,
,132878,,,,,
,132879,,,,,
,132880,,,,,
,132881,,,,,
,132882,,,,,
,132883,,,,,
,132884,,,,,
,132885,,,,,
,132886,,,,,
,132887,,,,,
,132888,,,,,
,132889,,,,,
,132890,,,,,
,132891,,,,,
,132892,,,,,
,132893,,,,,
,132894,,,,,
,132895,,,,,
,132896,,,,,
,132897,,,,,
,132898,,,,,
,132899,,,,,
,132900,,,,,
,132901,,,,,
,132902,,,,,
,132903,,,,,
,132904,,,,,
,132905,,,,,
,132906,,,,,
,132907,,,,,
,132908,,,,,
,132909,,,,,
,132910,,,,,
,132911,,,,,
,132912,,,,,
,132913,,,,,
,132914,,,,,
,132915,,,,,
,132916,,,,,
,132917,,,,,
,132918,,,,,
,132919,,,,,
,132920,,,,,
,132921,,,,,
,132922,,,,,
,132923,,,,,
,132924,,,,,
,132925,,,,,
,132926,,,,,
,132927,,,,,
,132928,,,,,
,132929,,,,,
,132930,,,,,
,132931,,,,,
,132932,,,,,
,132933,,,,,
,132934,,,,,
,132935,,,,,
,132936,,,,,
,132937,,,,,
,132938,,,,,
,132939,,,,,
,132940,,,,,
,132941,,,,,
,132942,,,,,
,132943,,,,,
,132944,,,,,
,132945,,,,,
,132946,,,,,
,132947,,,,,
,132948,,,,,
,132950,,,,,
,132951,,,,,
,132953,,,,,
,132954,,,,,
,132955,,,,,
,132956,,,,,
,132957,,,,,
,132958,,,,,
,132959,,,,,
,132960,,,,,
,132961,,,,,
,132962,,,,,
,132963,,,,,
,132964,,,,,
,132965,,,,,
,132966,,,,,
,132967,,,,,
,132968,,,,,
,132969,,,,,
,132970,,,,,
,132971,,,,,
,132972,,,,,
,132973,,,,,
,132974,,,,,
,132975,,,,,
,132976,,,,,
,132977,,,,,
,132978,,,,,
,132979,,,,,
,132980,,,,,
,132981,,,,,
,132982,,,,,
,132983,,,,,
,132984,,,,,
,132985,,,,,
,132986,,,,,
,132992,,,,,
,132993,,,,,
,132994,,,,,
,132995,,,,,
,132996,,,,,
,132997,,,,,
,132998,,,,,
,132999,,,,,
,133000,,,,,
,133001,,,,,
,133002,,,,,
,133003,,,,,
,133004,,,,,
,133005,,,,,
,133006,,,,,
,133007,,,,,
,133008,,,,,
,133009,,,,,
,133010,,,,,
,133011,,,,,
,133012,,,,,
,133013,,,,,
,133014,,,,,
,133015,,,,,
,133016,,,,,
,133017,,,,,
,133018,,,,,
,133019,,,,,
